Month,State
January,ME
January,NH
January,PA
February,MA
February,PA
February,NJ
February,PA
February,PA
February,PA
February,MA
April,NY
April,NY
April,PA
April,MA
May,PA
June,ME
June,NY
July,NY
July,NY
July,PA
July,NJ
July,MA
July,ME
August,ME
August,NY
August,MA
August,PA
September,ME
October,ME
October,CT
October,NY
October,NY
October,ME
October,PA
November,NY
November,NY
November,NY
November,CT
November,NY
November,NY
November,NY
December,ME
February,CT
February,NY
February,PA
February,ME
February,ME
March,NY
March,PA
March,CT
March,ME
March,CT
March,CT
March,NJ
April,ME
April,ME
April,CT
April,PA
May,NY
May,PA
May,PA
June,NJ
June,PA
June,NJ
June,PA
July,PA
July,NY
July,NY
July,NY
July,NY
August,NY
August,NY
August,NJ
August,NY
August,NJ
August,NY
August,CT
August,NY
August,PA
August,NJ
August,NY
August,NY
August,NY
August,CT
August,ME
August,CT
August,ME
September,ME
September,NJ
September,CT
October,NY
October,CT
October,ME
November,NH
November,CT
November,ME
November,MA
December,CT
December,PA
December,NJ
December,PA
December,CT
January,PA
January,CT
January,NH
January,NH
February,NH
February,NJ
February,NY
March,NY
March,CT
March,PA
March,NJ
March,ME
March,CT
April,ME
May,NH
May,PA
May,PA
June,ME
June,NY
June,CT
July,NY
July,NY
July,PA
July,ME
August,MA
August,CT
August,NY
September,PA
October,PA
October,PA
October,CT
October,VT
October,NJ
November,PA
November,NY
December,NY
December,NY
December,PA
December,MA
January,NH
January,MA
January,NH
January,MA
January,PA
January,NY
January,ME
January,ME
January,PA
January,NY
January,CT
February,NY
February,NY
February,RI
February,CT
March,NJ
March,ME
March,ME
March,VT
April,PA
April,NY
April,CT
April,NY
May,NH
May,PA
May,PA
May,PA
May,NY
May,NY
May,ME
May,PA
May,PA
June,NJ
July,PA
July,PA
July,PA
July,NY
August,NJ
August,MA
August,ME
August,NY
October,NY
October,CT
October,MA
November,MA
November,ME
November,ME
November,NY
December,PA
December,NY
December,PA
December,MA
December,MA
December,NY
December,CT
